VID (dec)	Class	Name	Remarks  
17430528+(16*x)+n	ECV	RCnUserAISFxAlmOutOfBand	"The alarm out of band time for RCn, User Alarm x."
			n = 1-5
			x = 1-4
17430608	ECV	AtmLimit_Param	"Atmospheric limit. This is the highest pressure the RC will be backfilled to. The value should be selected so that it is lower than the lowest expected pressure that a site is expected to experience. For instance at sea level, mean pressure is about 760 Torr, and pressures rarely go below 715 Torr, except under extreme weather conditions. So, 715 Torr is a reasonable setting for equipment operating at or near sea level."
17430608+n	ECV	RCnPulsarHandoffCPHOOption	RCn Pulsar CPHO Option during Handoff Operation.
			n=1-5
			0=Disable
			1=Enable
17430624+n	ECV	RCnPulsarHandoffRCN2Flow	RCn Pulsar N2 Flow during Handoff Operation.
			n=1-5
			Range=0-1000 sccm
17430640+n	ECV	RCnPulsarHandoffTHVPosition	RCn Pulsar THV Position during Handoff Operation.
			n=1-5
			Range=0-100 %
17430656+n	ECV	RCnPulsarHandoffS5Flow	RCn Pulsar S5 Flow during Handoff Operation.
			n=1-5
			Range=0-varies sccm
17430672+n	ECV	RCnPulsarHandoffS6Flow	RCn Pulsar S6 Flow during Handoff Operation.
			n=1-5
			Range=0-varies sccm
17430688+n	ECV	RCnPulsarHandoffS7Flow	RCn Pulsar S7 Flow during Handoff Operation.
			n=1-5
			Range=0-varies sccm
17430704+n	ECV	RCnPulsarHandoffS8Flow	RCn Pulsar S8 Flow during Handoff Operation.
			n=1-5
			Range=0-varies sccm
17430720+n	ECV	RCnEmeraldHandoffCPHOOption	RCn Emerald CPHO Option during Handoff Operation.
			n=1-5
			0=Disable
			1=Enable
17430736+n	ECV	RCnEmeraldHandoffRCArFlow	RCn Emerald Ar Flow during Handoff Operation.
			n=1-5
			Range=0-500 sccm
17430752+n	ECV	RCnEmeraldHandoffTHVPressure	RCn Emerald THV Pressure during Handoff Operation.
			n=1-5
			Range=0.000-10.000 Torr
17430768+n	ECV	RCnEmeraldHandoffElevatorUp	RCn Emerald Elevator Up selection during Handoff Operation.
			n=1-5
			0=No
			1=Yes
17430784+n	ECV	RCnEmeraldHandoffPumpState	RCn Emerald Pump State selection during Handoff Operation.
			n=1-5
			0=Isolate
			1=Slow
			2=Fast
17430800+n	ECV	RCnEmeraldHandoffRCArReact	RCn Emerald Ar React flow during Handoff Operation.
			n=1-5
			Range=0.00-100.00 sccm
17430816	ECV	DefaultDummyMaxUses	Defaul tDummy Max Uses value
			Range=1-255
17430832	ECV	DummyLowWarning	Dummy Low Warning value
			Range=0-255
			0=No Warning
17430864	ECV	LLPreStage	"0 = Disable, 1 = Enable"
17430928+x	ECV	RCxGPoEnabled	RCx Global Post replace Recipe->PJ->Post2
			x=1-5
			"0=Disabled,  1=Enabled"
17430944+x	ECV	RCxGPoRecipe	RCx Global Post Recipe Name
			x=1-5
17430960+x	ECV	RCxGPoStyle	RCx Global Post Style of data used
			x=1-5
			"0=Count, 1=Time,2=Thickness"
17430976+x	ECV	RCxGPoCount	RCx Global Post Count Trigger
			x=1-5
			"Count [0], Range=1..255"
17430992+x	ECV	RCxGPoTime	RCx Global Post Time Trigger
			x=1-5
			"Time[1], Range=0..9999.99"
17431008+x	ECV	RCxGPoThicknessA	RCx Global Post Thickness Trigger (Angstroms)
			x=1-5
			"Thickness[2] in Angstroms, Range=0..100000"
17431024+x	ECV	RCxGPoThicknessNm	RCx Global Post Thickness Trigger (nanometers)
			x=1-5
			"Thickness[2] in nanometers, Range=0.0..10000.0"
17431040	ECV	CounterParmTimingMod	Controls if RC Counter parameters found in the Parameter::Counter::Auto menu (Auto Chamber Cleaning and Auto Gas Line Purge parameters) can be modified when the system is in Run and/or Host Remote mode.
			Accepted values:
			0: Disable: No modifications allowed
			1: Enable: Only parameters in the Auto tab can be modified when the system is in Run and/or Host Remote mode
17431056	ECV	MultiRCWafSwap	TBD
17431072+n	ECV	RCnPeriodicDummyPreName	RCn Periodic Dummy PreWafer Recipe Name
			n = 1-5
17431088+n	ECV	RCnPeriodicDummyPreEtyNo	RCn Periodic Dummy PreWafer Recipe Entry Number
			n = 1-5
			Range: 1-8
17431104+n	ECV	RCnPeriodicDummyMainName	RCn Periodic Dummy Main Recipe Name
			n = 1-5
17431120+n	ECV	RCnPeriodicDummyMainEtyNo	RCn Periodic Dummy Main Recipe Entry Number
			n = 1-5
			Range: 1-8
17431136+n	ECV	RCnPeriodicDummyPostName	RCn Periodic Dummy PostWafer Recipe Name
			n = 1-5
17431152+n	ECV	RCnPeriodicDummyPostEtyNo	RCn Periodic Dummy PostWafer Recipe Entry Number
			n = 1-5
			Range: 1-8
17431168+n	ECV	RCnPeriodicDummyWaferType	RCn Periodic Dummy Wafer Type
			Note: Must start with the word ‘Dummy’ (ex. ‘DummyA’)
			n = 1-5
17431184+n	ECV	RCnPeriodicDummyInterval	RCn Periodic Dummy Interval
			Range: 0-65535 (minutes)
17431200+n	ECV	RCnPeriodicDummyWaferCount	RCn Periodic Dummy number of wafers to run
			Range: 0-25
17431216+n	ECV	RCnPeriodicDummyCoolTime	RCn Periodic Dummy cool time
			Range: 0-65535 (seconds)
17431232+n	ECV	LLnPurgeCycleIn	TM Load Lock Purge Cycle Input
			Range 0-65535 (cycle count)
			"n=1,2"
17431248+n	ECV	LLnPurgeCycleOut	TM Load Lock Purge Cycle Output
			Range 0-65535 (cycle count)
			"n=1,2"
17431264+n	ECV	LLnPurgeVacTimeIn	TM Load Lock Purge Vacuum Time Input
			Range 0-65535 (time count)
			"n=1,2"
17431280+n	ECV	LLnPurgeVacTimeOut	TM Load Lock Purge Vacuum Time Output
			Range 0-65535 (time count)
			"n=1,2"
17431296+n	ECV	LLnPurgePumpDownPrsIn	TM Load Lock Purge Pump Down Pressure Input
			Range 0-100.0
			"n=1,2"
17431312+n	ECV	LLnPurgePumpDownPrsOut	TM Load Lock Purge Pump Down Pressure Output
			Range 0-100.0
			"n=1,2"
17431328+n	ECV	LLnLeakChkRateLimit	TM WHC/Load Lock Leak Check Rate Limit
			Range 0-20.000
			"n=1,2"
17431333	ECV	WHCLeakChkRateLimit	TM WHC/Load Lock Leak Check Rate Limit
			Range 0-20.000
17431344+n	ECV	LLnLeakChkWaitTime	TM WHC/Load Lock Leak Check Wait Time
			Range 0-3600 (seconds)
			"n=1,2"
17431349	ECV	WHCLeakChkWaitTime	TM WHC/Load Lock Leak Check Wait Time
			Range 0-3600 (seconds)
17431360+n	ECV	LLnLeakChkLeakTime	TM WHC/Load Lock Leak Check Leak Time
			Range 0-3600 (seconds)
			"n=1,2"
17431365	ECV	WHCLeakChkLeakTime	TM WHC/Load Lock Leak Check Leak Time
			Range 0-3600 (seconds)
17431376+n	ECV	LLnLeakChkAbortLimit	TM WHC/Load Lock Leak Check Abort Limit
			Range 0-1000.0
			"n=1,2"
17431381	ECV	WHCLeakChkAbortLimit	TM WHC/Load Lock Leak Check Abort Limit
			Range 0-1000.0
17431392+n	ECV	LLXLeakChkInterval	TM WHC/Load Lock Leak Check Leak Interval
			Range 0-65535
			"n=1,2"
17431397	ECV	WHCLeakChkInterval	TM WHC/Load Lock Leak Check Leak Interval
			Range 0-65535
17431408+n	ECV	LLnLeakChkRetry	TM WHC/Load Lock Leak Check Leak Retry
			Range 0-65535
			"n=1,2"
17431413	ECV	WHCLeakChkRetry	TM WHC/Load Lock Leak Check Leak Retry
			Range 0-65535
17431424	ECV	WHCWaferChkMode	TM WHC Wafer Check Mode
			Range 0-1
17431456+n	ECV	RCnAutoCleanWarnAt	The Recipe Execution Timing for warning about Auto Chamber Cleaning of reactor n
			Range=0-999999999 (count)
			n=1-5
17431472+n	ECV	RCnAutoPurgeWarnAt	The Recipe Execution Timing for warning about Auto Gas Line Purge for PM n
			Range=0-999999999 (count)
			n=1-5
17431488+n	ECV	RCnAutoDummyTriggerType	Auto Dummy Wafer for PM n Trigger Type Index
			Range=0-3 (index)
			n=1-5
17431504+n	ECV	RCnAutoDummyRecipe	Auto Dummy Wafer for PM n Main Recipe Name
			Range=0-Any (char)
			n=1-5
17431520+n	ECV	RCnAutoDummyCountPro	Auto Dummy Wafer for PM n Count Processing Type Index
			Range=0-1 (index)
			n=1-5
17431536+n	ECV	RCnAutoDummyTotalCount	Auto Dummy Wafer for PM n Accumulated Total
			Range=0-999999999 (count)
			n=1-5
17431552+n	ECV	RCnAutoDummyRcpExeCount	Auto Dummy Wafer for PM n Recipe Job Create Trigger Count Limit
			Range=0-999999999 (count)
			n=1-5
17431568+n	ECV	RCnAutoDummyWarnAt	Auto Dummy Wafer for PM n Recipe Job Create Pending Warning Count Limit
			Range=0-999999999 (count)
			n=1-5
17431584+n	ECV	RCnAutoDummyWaferType	Auto Dummy Wafer for PM n Dummy Wafer Type Name
			Range=0- Any (char)
			n=1-5
17431600+n	ECV	RCnAutoDummyWaferCount	Auto Dummy Wafer for PM n Number of Wafers for Dummy Wafer Job
			Range=0-25 (count)
			n=1-5
17431616+n	ECV	RCnAutoDummyPreRecipe	Auto Dummy Wafer for PM n Pre-Wafer Recipe Name
			Range=0- Any (char)
			n=1-5
17431632+n	ECV	RCnAutoDummyPostRecipe	Auto Dummy Wafer for PM n Post-Wafer Recipe Name
			Range=0- Any (char)
			n=1-5
17431648+n	ECV	RCnAutoDummyCoolTime	Auto Dummy Wafer for PM n Cooling Station Holding Time
			Range=0-65535 (secs)
			n=1-5
17431664	ECV	LPPostProcMapCheck	Indicates if a wafer map on undock should be performed.
			Range = 0-1 (disable/enable)
17431696	ECV	WHCSetPressure	Pressure Setpoint for WHC
			Range = 0.0 – WLCnf  Range (WHC)
17431696+n	ECV	LLnSetPressure	Pressure Setpoint for LL n
			"Range = 0.0 – WLCnf  Range (LL1, LL2)"
			n=1-2
17431712	ECV	WHCSetFlowRate	Flow rate Setpoint for WHC
			Range = 0.0 – WLCnf  Range (WHC)
			Units: lpm
17431712+n	ECV	LLnSetFlowRate	Flow rate Setpoint for LL n
			"Range = 0.0 – WLCnf  Range (LL1, LL2)"
			n=1-2
17431728+n	ECV	RCnPeriodicDummyLLTP	LL Transfer Pattern for PM n Periodic Dummy Wafer
			Range=0-5
			"  0 =LL1,LL2"
			"  1 = LL2, LL1"
			  2 = LL1
			  3 = LL2
			  4 = LL1 à LL2
			  5 = LL2->LL1
			n=1-5
17431744+n	ECV	RCnAutoDummyLLTP	LL Transfer Pattern for PM n Auto Dummy Wafer
			Range=0-5
			"  0 =LL1,LL2"
			"  1 = LL2, LL1"
			  2 = LL1
			  3 = LL2
			  4 = LL1 à LL2
			  5 = LL2->LL1
			n=1-5
17431760	ECV	SmartTransferTime	The amount of recipe processing time remaining for a process module before the next wafer may move from the loapdort toward an RC.
			A value of 0 disables the delayed start.
			Value 0-65535 seconds
17431776	ECV	LLWaferSharing	The Scheduler may automatically use both Load Lock tiers to transfer wafers during job processing.
			A value of 0 disables Load Lock (LL) wafer sharing.  A value of 1 enables LL wafer sharing.
			Value 0-1
17431776+n	20	MaterialnComment	n = 1-2
			The comment for Material n
17431792+n	51	MaterialnLoadlock	n = 1-2
			data range: 0-1
			The loadlock for Material n
			"A value of 0 means LL1, "
			A value of 1 means LL2.
17431808+n	51	MaterialnReactors	n = 1-2
			data range: 0-15
			The reactors for Material n
			This field is a bitmask of the reactors:
			0 = no reactors selected
			1 = Reactor 1 selected
			2 = Reactor 2 selected
			3 = Reactors 1 + 2 selected
			4 = Reactor 3 selected
			5 = Reactors 1 + 3 selected
			6 = Reactors 2 + 3 selected
			7 = Reactors 1 + 2 + 3 selected
			8 = Reactor 4 selected
			9 = Reactors 1 + 4 selected
			10 = Reactors 2 + 4 selected
			11 = Reactors 1 + 2 + 4 selected
			12 = Reactors 3 + 4 selected
			13 = Reactors 1 + 3 + 4 selected
			14 = Reactors 2 + 3 + 4 selected
			15 = All reactors selected
174317824+n	51	MaterialnFERBArm	n = 1-2
			data range: 0-1
			The FERB Arm for Material n
			A value of 0 means Arm 1.
			A value of 1 means Arm 2.
174317840+n	51	MaterialnBERBArm	n = 1-2
			data range: 0-1
			The BERB Arm for Material n
			A value of 0 means Arm 1.
			A value of 1 means Arm 2.
17629184+	ECV	RCnTOpCurSetpoint	"This EC is the current setpoint of the temperature output zone p on RC n. For normal control zones, the value read/entered will reflect the current actual setpoint. For delta zones, the value will be the delta setpoint. For non-control zones, the value will always be 0."
(p*16) + n			"Range (normal)=0.0 to Maximum Temp, which is the least value of full range, MaxTemp parameter(if non-zero), and OverTemp parameter."
			Range (+delta)=0.0 to Maximum delta value as defined in config (typically 40)
			Range(-delta)=Minimum delta value as defined in config to 0.0
			Range(non-control zone)=0.0 to 0.0
			n = 1 - 4
			p = 0 - 63 (decimal)
			XX=00-3F (forTO0 -TO63)
17633296+n	ECV	RCnThicknessAutoCorrect	Thickness Auto Correct for RC n
			Range=0-1
			0=Disable
			1=Enable
			n=1-5
17633312 +(p*16) +n	ECV	RCnTacTCpDisabled	"Thickness Auto Correct for RC n, TCtrl  (p+1) – Stop corrections for one temperature"
			n=1-5 
			p=0-3 (corrected zones 1-4)
			x=2-5 (for p=0-3)
			Range 0 – 1
			0 = Apply corrections
			1 = Stop applying corrections
17633440+n	ECV	RCnTacCounterType	Thickness Auto Correct for RC n – Counter Type
			Range 0-1
			0 = Auto-Clean Process Total –Reset on chamber clean
			1 = Auto-Clean Accumulated Total – No reset on chamber clean
			n=1-5
17633456+n	ECV	RCnTacTriggerType	Thickness Auto Correct for RC n – Trigger Type
			Range 0-3
			 0 = Processing Count
			 1 = Processing Time 
			 2 = Thickness
			 3 = Pulsing Cycles
			n=1-5
17633472+n	ECV	RCnAutoCleanAccumCount	Auto Chamber Clean for RC n – Accumulated Processing Count
			Range 0-999999999
			n=1-5
17633488	ECV	WHCCrossPressure	Slow->Fast Pump Crossover Pressure for WHC
			Range = 0.0 – 760.0 (1 Atm)
17633488+n	ECV	LLnCrossPressure	Slow->Fast Pump Crossover Pressure for LL n
			"Range = 0.0 – 760.0 (1 Atm) (LL1, LL2)"
			n=1-2
17633504+n	ECV	LPnCarrierDoorCloseOnMap	LPn load sequence door close afer wafer mapping.
			"Range = 0-1 (Not Use, Use)"
			n=1-4
17633520+n	ECV	RCnTacFrequency	RCn frequency to perform Thickness Auto Correct
			"Range = 0-1 (0=PJ, 1=Wafer)"
			n=1-4
17633536+n	ECV	RCnRefillMode	RCn Bulk Refill Mode.
			Data Range:
			The values are a bitmask. The resultant values are:
			0 = No Auto Start
			1 = Src1 Only
			2 = Src2 Only
			3 = Src1 and Src2
			4 = Src3 Only
			5 = Src1 and Src3
			6 = Src2 and Src3
			"7 = Src1, Src2, and Src3"
			n=1-4
17633552+n	ECV	RCnRefillRcMode	RCn Refill RC Mode
			Data Range:
			  0 = ActiveRC
			  1 = StopAll
			n = 1-4
17633568+n	ECV	RCnRefillVesselPressure	RCn Refill Vessel Pressure
			Data Range: 0-200 (torr)
			n = 1-4
17633584+n	ECV	RCnRefillArFlowRate	RCn Refill AR Flow Rate
			Data Range: 0-500 (sccm)
			n = 1-4
17633600+n	ECV	RCnRefillLineChargeTime	RCn Refill Line Charge Time
			Range=0-3600 (sec)
			n=1-4
17633616+n	ECV	RCnRefillLineEvacTime	RCn Refill Line Evac Time
			Range=0-3600 (sec)
			n=1-4
17633632+n	ECV	RCnRefillPurgeCycle	RCn Refill Purge Cycle
			Range=0-1000 (cycle)
			n=1-4
17633648+n	ECV	RCnRefillMaintChargeTime	RCn Refill Maintenance Charge Time
			Range=0-3600 (sec)
			n=1-4
			Note: Not used with Continuous Bulk Refill
17633664+n	ECV	RCnRefillMaintEvacTime	RCn Refill Maintenance Evac Time
			Range=0-3600 (sec)
			n=1-4
			Note: Not used with Continuous Bulk Refill
17633680+n	ECV	RCnRefillMaintCycle	RCn Refill Maintenance Cycle
			Range=0-1000 (cycles)
			n=1-4
			Note: Not used with Continuous Bulk Refill
17633696+n	ECV	RCnBulkReqTimeout	RCn Bulk Refill Required Timeout
			Range=10-60 (sec)
			n=1-4
			Note: Not used with Continuous Bulk Refill
17633712+n	ECV	RCnBulkRefillTimeout	RCn Bulk Refill Timeout
			Data Range: 0-60 seconds
			n = 1-4
17633728+n	ECV	RCnBulkPurgeTimeout	RCn Bulk Purge Timeout
			Range=90-105 (min)
			n=1-4
			Note: Not used with Continuous Bulk Refill
17633744+n	ECV	RCnBulkTriggerDelay	RCn Bulk Refill trigger delay
			Range = 0-120 minutes
			n=1-4
17633760+n	ECV	RCnS1RefillLevel	RCn Source1 Refill Level
			Range = 0-3
			 0 = S1_LvlHigh
			 1 = S1AuxMH
			 2 = S1AuxML
			 3 = S1_NotLow
			n=1-4
17633776+n	ECV	RCnS2RefillLevel	RCn Source2 Refill Level
			Range = 0-3
			 0 = S2_LvlHigh
			 1 = S2AuxMH
			 2 = S2AuxML
			 3 = S2_NotLow
			n=1-4
17633792+n	ECV	RCnS3RefillLevel	RCn Source3 Refill Level
			Range = 0-3
			 0 = S3_LvlHigh
			 1 = S3AuxMH
			 2 = S3AuxML
			 3 = S3_NotLow
			n=1-4
17634976+n	ECV	RCnPumpdownTarget	RCn Pumpdown Target
			Range = 0.1 to 10.0 torr
			n=1-4
17634992+n	ECV	RCnPumpCrossoverPressure	RCn Pump Crossover Pressure
			Range = 10.0 to 90.0 torr
			n=1-4
17635008+n	ECV	RCnPumpTimeout	RCn Pump Timeout
			Range = 60 to 600 seconds
			n=1-4
17635024+n	ECV	RCnStandby_Flow	RCn Standby Flow
			Range = 0 to 1000 sccm
			n=1-4
17635040+n	ECV	RCnPulsar_SX_Standby_Flow	RCn Pulsar SX Standby Flow
			Range = 0 to 1000 sccm
			n=1-4
17635056+n	ECV	RCnSrc5ChemicalDisplayName	RCn Source 5 Chemical Display Name
			n=1-4
17635072+n	ECV	RCnSrc6ChemicalDisplayName	RCn Source 6 Chemical Display Name
			n=1-4
17635088+n	ECV	RCnSrc7ChemicalDisplayName	RCn Source 7 Chemical Display Name
			n=1-4
17635104+n	ECV	RCnSrc8ChemicalDisplayName	RCn Source 8 Chemical Display Name
			n=1-4
17635120+n	ECV	RCnPulsarHigLeakCheckTime	RCn Pulsar HIG Leak Check Time
			Range = 10 to 900 seconds
			n=1-4
17635136+n	ECV	RCnPulsarHigLeakCheckPumpTime	RCn Pulsar HIG Leak Check Pump Time
			Range = 10 to 900 seconds
			n=1-4
1763152+x	ECV	RCxEmHigLeakCheckTime	Number of seconds to perform each part of the leak checks for the RCx HIG during Emerald initialization integrity checking.
			Range 10-900 seconds.  There are two parts.  The HIG integrity check is run during initialization whenever the HIG door has been opened. 
			"x = [1,2,3,4,5] (RC1 .. RC5)"
1763168+x	ECV	RCxEmHigLeakCheckPumpTime	Pump-down time limit in seconds for the RCx HIG during Emerald initialization integrity checking.
			Range 10-900 seconds.
			"x = [1,2,3,4,5] (RC1 .. RC5)"
1763184+x	ECV	RCxEmHigPumpdownTarget	Pump-down pressure (Torr) for the RCx HIG during Emerald initialization integrity checking.
			Range 0.1- 40.0 Torr.
			"x = [1,2,3,4,5] (RC1 .. RC5)"
17633920 +n+16*(X-1)	ECV	RCnCorrectionParamXEndRegion	RCn TAC Correction Parameter X End Region
			n=1-4
			mm=28-31(Hex) for (X=1-10)
17634432 +n+16*(X-1)	ECV	RCnCorrectionParamXEndCF	RCn TAC Correction Parameter X End Correction Factor
			n=1-4
			mm=48-51(Hex) for (X=1-10)
17634944 +n	ECV	RCnCorrectionParam1StartRegion	"RCn TAC Correction Parameter first Start Region (only the first start is an EC, other regions are only SVs)"
			n=1-4
17634960 +n	ECV	RCnCorrectionParam1StartCF	"RCn TAC Correction Parameter first Start Correction Factor (only the first start is an ECV, other regions are only SVs)"
			n=1-4
17633904	ECV	AlignerAngleLP	The angle for the aligner for wafers bound for a LP.
			Range = 0 to 359.9 degrees.
17633905	ECV	AlignerAngleLL1	The angle for the aligner for wafers bound for LL1.
			Range = 0 to 359.9 degrees.
17633906	ECV	AlignerAngleLL1R	The angle for the aligner for wafers bound for reverse LL1. (Not used in normal wafer routing)
			Range = 0 to 359.9 degrees.
17633907	ECV	AlignerAngleLL2	The angle for the aligner for wafers bound for LL2.
			Range = 0 to 359.9 degrees.
17633908	ECV	AlignerAngleLL2R	The angle for the aligner for wafers bound for reverse LL2. (Not used in normal wafer routing)
			Range = 0 to 359.9 degrees.
17633909	ECV	AlignerAngleCool	The angle for the aligner for wafers bound for the cooling station.
			Range = 0 to 359.9 degrees.
33554448	SV	ControlState	"Contains the code identifies the current state of the equipment.  When reported related to a control state transition, its value should represent the state current after the transition."
			1=OFFLINE/Equipment OFFLINE
			2=OFFLINE/Attempt ON-LINE
			3=OFFLINE/HOST OFFLINE
			4=ON-LINE/LOCAL
			5=ON-LINE/REMOTE
33554464	SV	PreviousControlState	"Contains the code describing previous control state of the equipment, before the most recent control state change."
			1=OFFLINE/Equipment OFFLINE
			2=OFFLINE/Attempt ON-LINE
			3=OFFLINE/HOST OFFLINE
			4=ON-LINE/LOCAL
			5=ON-LINE/REMOTE
33554688+x	SV	RCxPresenceState	"RCx, x= 1-5"
			 1 = Present
			 0 = Not Present
33554704+x	SV	LPxPresenceState	"LPx, x= 1-4"
			 1 = Present
			 0 = Not Present
33554721	SV	CSTGPresenceState	Cooling Unit
			 0 = Not in use
			 1 = In use
33619984	SV	LimitsEnabled	VID of the object to be limit-monitored.  
33685520	SV	SMPn	The current sampling count based on the trace n.
+16 x p			"xx=01h-04h, p=0-3"
			n=1-4
33685584	SV	TOTSMPn	"The total sampling count from the start to the end, based on the trace n."
+16 x p			"xx=05h-08h, p=0-3"
			"n=1-4 (Trace: 1-4, to TOTSMP1-4. xx=05h;TOTSMP1)"
33685648	SV	TracesEnablen	VID being applied trace n.
+16 x p			"xx=09h-0Ch, p=0-3"
			"n=1-4 (Trace: 1-4, for TraceVID 1-4. xx=09h:TracesEnable1)"
33685712	SV	TRIDn	ID of the old trace n.
+16 x p			"xx=0Dh-10h, p=0-3"
			"n=1-4 (Trace: 1-4, for TRID1-4. xx=0Dh;TRID1)"
33751056	SV	SpoolCountActual	Count of the messages actually contained in the equipment’s spool area.
33751072	SV	SpoolCountTotal	Count of the total number of primary messages directed to the spool.  
33751088	SV	SpoolEnabled	The current state indicating whether the spool has been performed or not.
			0= disabled
			1= enabled
33751104	SV	SpoolStartTime	The timestamp from the time spooling last became active.
			Format: YYYYMMDDhhmmsscc
			cc=1/100 second
33751120	SV	SpoolFullTime	The timestamp from the time the spool last became full.
			Format: YYYYMMDDhhmmsscc
			cc=1/100 second
33751136	SV	SpoolState	The current spooling state.
			1=SPOOL ACTIVE
			2=SPOOL INACTIVE
			Valid only upon SpoolEnabled=1.
33751152	SV	SpoolUnloadSubstate	The current spool-unloading state.
			3=PURGE SPOOL
			4=TRANSMIT SPOOL
			5=NO SPOOL OUTPUT
			Valid only upon SpoolState=1.
33751168	SV	SpoolLoadSubstate	The current state of spool load.
			6=SPOOL NOT FULL
			7=SPOOL FULL
			Valid only upon SpoolState=1.
33816592	SV	AlarmsEnabled	Contains the list of alarms (ALIDs) enabled for reporting (via Stream 5).
33816608	SV	AlarmsSet	"Content of this variable is a list of alarms (ALIDs) currently in the UNSAFE (alarm set) state, regardless whether the alarms are enabled for reporting."
33882144	SV	EventsEnabled	Contains the event list (CEID) valid for reporting (via Stream 6).
33882160	SV	Clock	The current value of the equipment’s internal clock.
			Format: YYYYMMDDhhmmsscc
			cc=1/100 second
33882384	SV	ProcessState	"Contains the code that identifies the current processing state of the equipment.  When reported related to a processing state transition, its value represents the state current after the transition.  "
			0=IDLE
			1=READY
			2=SYSTEM RUN/RUN
			3=SYSTEM RUN/PAUSING
			4=SYSTEM RUN/PAUSE
			5=SYSTEM RUN/STOPPING
			6=SYSTEM RUN/ABORTING
			7=SYSTEM RUN/TERMINATE
			8=SYSTEM END/COMP
			9=SYSTEM END/ST-END
			10=SYSTEM END/AB-END
33882400	SV	PreviousProcessState	"The previous processing state of the equipment, before the most recent process state change."
			Contents of the data are same as ProcessState.
33882416	SV	LPnControlState	The current control state of the load port n.
+n			0=IDLE
			1=READY
			2=EXECUTING
			(n=1-4)
33882432	SV	FERbtControlState	The current control state of the front end robot.
			0=IDLE
			1=READY
			2=EXECUTING
			3=PAUSE
			4=TEACH
33882448	SV	BERbtControlState	The current control state of the back end robot.
			0=IDLE
			1=READY
			2=EXECUTING
			3=PAUSE
			4=TEACH
33882464	SV	AlignerControlState	The current control state of the wafer aligner.
			0=IDLE
			1=READY
			2=EXECUTING
33882480	SV	MetrologyControlState	The current control state of the metrology.
			0=IDLE
			1=READY
			2=EXECUTING
33882496	SV	LLAlignernControlState	The current control state of the loadlock  Aligner n.
+n			0=IDLE
			1=READY
			2=EXECUTING
			3=PAUSE
			(n=1-2)
33882528	SV	GVnControlState	The current control state of the gate valve n.
+n			0=IDLE
			1=READY
			2=EXECUTING
			(n=1-8)
33882544	SV	GVnSensorState	The current sensor state of the gate valve n.
+n			0=OPEN
			1=CLOSE
			2=NO SENS
			3=ERROR
			255=INITIALSTATE
			(n=1-8)
33882592	SV	LLCnControlState	The current control state of the loadlock n.
+n			0=IDLE
			1=READY
			2=EXECUTING
			(n=1-2)
33882608	SV	LLCnPressState	The current pressure state of the loadlock n.
+n			0=UNKNOWN
			1=1ATM
			2=TRANSITION
			3=VACUUM
			(n=1-2)
33882624	SV	WHCControlState	The current control state of the WHC.
			0=IDLE
			1=READY
			2=EXECUTING
33882640	SV	WHCPressState	The current pressure state of the WHC.
			0=UNKNOWN
			1=1ATM
			2=TRANSITION
			3=VACUUM
33882768	SV	RCnState	Contains the code that identifies the current control state of reactor n.
+n			"When reported related to reactor state, its value represents the state current after the transition."
			0=SETUP
			1=STANDBY
			2=IDLE
			3=READY
			4=PROC RUN/RUN
			5=PROC RUN/PAUSE
			6=PROC END/END
			7=PROC END/ALARM END
			8=PROC END/ABORT END
			9=PROC END/WAIT
			(n=1-4)
33882784	SV	PreviousRCnState	"The previous control state of the reactor n, before the most recent state change."
+n			Contents of the data are same as RCnState.
			(n=1-4)
33882800	SV	RCnPressState	The current pressure state of the reactor n.
+n			0=UNKNOWN
			1=1ATM
			2=TRANSITION
			3=VACUUM
			(n=1-4)
33882816	SV	RCnProRcpName	Name of the process recipe for reactor n that is currently valid.
+n			(n=1-4)
33882832	SV	RCnSeqInformation	The current information related to the process sequence of reactor n.
+n			00h=Other
			01h=Pre1
			02h=Pre2
			03h=Pre3
			04h=Pre4
			11h=Depo1
			12h=Depo2
			13h=Depo3
			14h=Depo4
			21h=Post1
			22h=Post2
			23h=Post3
			24h=Post4
			31h=First1
			32h=First2
			33h=First3
			34h=First4
			41h=Last1
			42h=Last2
			43h=Last3
			44h=Last4
			(n=1-4)
33882848	SV	RCnStep	Step being performed in reactor n.
+n			(n=1-4)
33882864	SV	RCnStepName	Name of the step being performed in reactor n.
+n			(n=1-4)
33882880	SV	RCnStepTime	Execution step time of current reactor n.
+n			Format: hhmmsscc(8)
			cc=1/100 seconds
			(n=1-4)
33882896	SV	RCnStepRemainTime	Execution step remain time of current reactor n.
+n			Format: hhmmsscc(8)
			cc=1/100 seconds
			(n=1-4)
33882912	SV	RCnRecipeRemainTime	Execution recipe remain time of current reactor n.
+n			Format: hhmmsscc(8)
			cc=1/100 seconds
			(n=1-4)
33882928	SV	RCnCarrierID	Carrier ID of Execution wafer in current reactor n.
+n			(n=1-4)
33890816	SV	WaferLPnInformation	The current information of wafer contained in load port n.
+n			"Format: wafer port no., wafer slot no."
			(for 28 slots based on the format above.)
			(n=1-4)
33890832	SV	WaferLLnInformation	The current information of wafer contained in load lock n.
+n			"Format: wafer port no., wafer slot no."
			(for 2 slots based on the format above.)
			(n=1-2)
33890848	SV	WaferRCnInformation	The current information of the wafer contained in reactor n.
+n			"Format: wafer port no., wafer slot no."
